"id","口座名","カテゴリ","残高","メモ","更新日"
"1","PayPay銀行","銀行","2671276","","2026-06-25"
"2","三井住友銀行","銀行","3921398","","2026-06-30"
"3","SBG（野村持ち株）","個別株","1650320","","2026-06-30"
"4","全世界インデックス（SBI確定拠出）","全世界インデックス","1537821","","2026-06-27"
"5","SBKK（みずほストック）","高配当","7873200","","2026-06-27"
"6","SBKK（野村持ち株）","高配当","860982","","2026-06-30"
"8","PayPayポイント","全世界インデックス","276246","価格自動取得不可のため手動入力","2026-06-15"
"9","年金","年金","1047617","","2026-06-03"
"20","eMAXIS Slim 国内株式日経平均（特定・一括）","日本インデックス","3757805","","2026-06-15"
"14","全世界PayPay","全世界インデックス","540867","","2026-06-21"
"16","オルカンPayPay","全世界インデックス","0","","2026-06-25"
"26","信越化学工業","個別株","697400","","2026-06-15"
"44","SMT 日本株式モメンタムファンド（----/--/--買付）","日本インデックス","1022635","","2026-06-17"
"27","JX金属","個別株","437800","","2026-06-20"
"41","JX金属","個別株","437800","","2026-06-17"
"42","JX金属","個別株","437800","","2026-06-20"
"29","SBI預かり","銀行","896943","","2026-06-29"
"39","フジクラ","個別株","617700","","2026-06-17"
"32","moomoo証券","銀行","300000","","2026-06-19"
"45","213A 上場日経半導体","個別株","968190","","2026-06-18"
"36","ｉＳベストＡＩ","個別株","604662","","2026-06-15"
"38","eMAXIS Slim 米国株式(S&P500)","全世界インデックス","3617963","","2026-06-16"
"31","エムスリー","個別株","892750","","2026-06-15"
"40","ＳＭＴ　米国株式モメンタムファンド","全世界インデックス","930713","","2026-06-17"
"46","213A 上場日経半導体（2026/06/19買付）","個別株","968190","","2026-06-19"
"49","サンリオ","個別株","111400","","2026-06-22"
"13","TOPIX100・インデックス（ＤＣ年金）","日本インデックス","817053","価格自動取得不可のため手動入力","2026-06-19"
"30","ソニーグループ","個別株","326700","","2026-06-15"
"34","商船三井","個別株","525500","","2026-06-15"
"47","ＳＭＴ　中国株式モメンタムファンド","全世界インデックス","1066955","","2026-06-20"
"48","iFreeNEXT FANG+インデックス","全世界インデックス","491198","","2026-06-20"
"18","Ｆ＆ＬＣ","個別株","972600","","2026-06-27"
"50","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス","全世界インデックス","0","","2026-06-23"
"51","ｉＴｒｕｓｔインド株式","インドインデックス","0","","2026-06-23"
"52","任天堂","個別株","0","","2026-06-23"
"53","武田薬品","個別株","0","","2026-06-23"
"54","トーカロ","個別株","978000","","2026-06-23"
"55","ＳＲＥＨＤ","個別株","0","","2026-06-25"
"56","キオクシア","個別株","899500","","2026-06-25"
"57","IONQ","外国株式","159409","","2026-06-27"
"58","6590 芝浦","個別株","455000","","2026-06-29"
"61","ソフトバンクグループ","個別株","593000","","2026-06-29"
"64","PayPay預かり","銀行","100000","","2026-06-30"